Ano	Mês	Inflação	Data
2024	1	0.97	2024-01-01
2023	1	1.12	2023-01-01
2022	1	0.73	2022-01-01
2021	1	0.15	2021-01-01
2020	1	0.38	2020-01-01
2019	1	0.54	2019-01-01
2018	1	0.58	2018-01-01
2017	1	1.09	2017-01-01
2016	1	1.06	2016-01-01
2015	1	0.94	2015-01-01
2014	1	0.85	2014-01-01
2013	1	0.6	2013-01-01
2012	1	0.89	2012-01-01
2011	1	0.86	2011-01-01
2010	1	0.66	2010-01-01
2009	1	1.05	2009-01-01
2008	1	0.93	2008-01-01
2007	1	1.08	2007-01-01
2006	1	1.43	2006-01-01
2005	1	1.38	2005-01-01
2004	1	1.27	2004-01-01
2003	1	1.97	2003-01-01
2002	1	1.53	2002-01-01
2001	1	1.27	2001-01-01
2000	1	1.46	2000-01-01
1999	1	2.18	1999-01-01
2024	2	0.8	2024-02-01
2023	2	0.92	2023-02-01
2022	2	0.76	2022-02-01
2021	2	0.13	2021-02-01
2020	2	0.29	2020-02-01
2019	2	0.49	2019-02-01
2018	2	0.47	2018-02-01
2017	2	0.87	2017-02-01
2016	2	1.0	2016-02-01
2015	2	0.82	2015-02-01
2014	2	0.79	2014-02-01
2013	2	0.49	2013-02-01
2012	2	0.75	2012-02-01
2011	2	0.84	2011-02-01
2010	2	0.59	2010-02-01
2009	2	0.86	2009-02-01
2008	2	0.8	2008-02-01
2007	2	0.87	2007-02-01
2006	2	1.15	2006-02-01
2005	2	1.22	2005-02-01
2004	2	1.08	2004-02-01
2003	2	1.83	2003-02-01
2002	2	1.25	2002-02-01
2001	2	1.02	2001-02-01
2000	2	1.45	2000-02-01
1999	2	2.38	1999-02-01
2024	3	0.83	2024-03-01
2023	3	1.17	2023-03-01
2022	3	0.93	2022-03-01
2021	3	0.2	2021-03-01
2020	3	0.34	2020-03-01
2019	3	0.47	2019-03-01
2018	3	0.53	2018-03-01
2017	3	1.05	2017-03-01
2016	3	1.16	2016-03-01
2015	3	1.04	2015-03-01
2014	3	0.77	2014-03-01
2013	3	0.55	2013-03-01
2012	3	0.82	2012-03-01
2011	3	0.92	2011-03-01
2010	3	0.76	2010-03-01
2009	3	0.97	2009-03-01
2008	3	0.84	2008-03-01
2007	3	1.05	2007-03-01
2006	3	1.42	2006-03-01
2005	3	1.53	2005-03-01
2004	3	1.38	2004-03-01
2003	3	1.78	2003-03-01
2002	3	1.37	2002-03-01
2001	3	1.26	2001-03-01
2000	3	1.45	2000-03-01
1999	3	3.33	1999-03-01
2024	4	0.89	2024-04-01
